,districts,positive,asymptomatic
0,浦东新区,2,6866
1,黄浦区,8,962
2,静安区,1,49
3,徐汇区,8,1221
4,长宁区,1,32
5,普陀区,4,250
6,虹口区,5,603
7,杨浦区,1,210
8,宝山区,1,1370
9,嘉定区,4,51
10,松江区,6,553
11,青浦区,1,313
12,奉贤区,2,62
13,崇明区,,47
